NUID,r2rHostKeyDataOutEncEcb-EMI0x4041-1r,r2rHostKeyDataOutDecEcb-EMI0x4041-1r,r2rHostKeyDataOutEncCbc-EMI0x4043-1r,r2rHostKeyDataOutDecCbc-EMI0x4043-1r,r2rHostKeyDataOutEncCtr,r2rHostKeyDataOutDecCtr,r2rContentKeyDataOutEncEcb-EMI0x4041-1r,r2rContentKeyDataOutDecEcb-EMI0x4041-1r,r2rContentKeyDataOutEncCbc-EMI0x4043-1r,r2rContentKeyDataOutDecCbc-EMI0x4043-1r,r2rContentKeyDataOutEncCtr,r2rContentKeyDataOutDecCtr
0x0000000000000000,,,,,,,0x0ad96e50ddce00f2,0x3484ac8fe2d692ae,,,,,
0x0000000000000001,,,,,,,0x8f14e4da2d68b979,0x5678d223a44a3f3f,,,,,
0x0000000000000002,,,,,,,0x13105d2249c3b8a7,0x6c8bf1c46a2b5334,,,,,
0x0000000000000003,,,,,,,0x88d0c29b65572ef9,0xb21ba28394f75a33,,,,,
0x0000000000000004,,,,,,,0x10a380fd5b957b62,0x9cf4fb951f4ac86a,,,,,
0x0000000000000005,,,,,,,0x6783060444fbc027,0x8679b9335a4fd3d7,,,,,
0x0000000000000006,,,,,,,0x39e8b73f3481f841,0x1bbb72b2702c68bf,,,,,
0x0000000000000007,,,,,,,0xde229845fad80bc4,0xefcbd83dd5c0b789,,,,,
0x0000000000000008,,,,,,,0x62ddcd9bb6340098,0x5a6d11dc68800eca,,,,,
0x0000000000000009,,,,,,,0x847fcdc3b6bb4b24,0x3c8e799c281366a3,,,,,
0x000000000000000a,,,,,,,0x26715d8e60489323,0xf93bfa28acab6183,,,,,
0x000000000000000b,,,,,,,0x7145996e17eec477,0xa4e5e63210eaeeeb,,,,,
0x000000000000000c,,,,,,,0x4c7002ecdc95e1d1,0xe259a8a88fee6d76,,,,,
0x000000000000000d,,,,,,,0x46708a2ded7e88c8,0x75b868e0d91749a7,,,,,
0x000000000000000e,,,,,,,0x816a41b62130b6fb,0xaef684ea6f9ac540,,,,,
0x000000000000000f,,,,,,,0x6e63782ec033273e,0x986a4debbdf1a28b,,,,,
0x0000000000000010,,,,,,,0x638bd6c4e9f369c3,0x09897ca8f95b2802,,,,,
0x0000000000000011,,,,,,,0x5007faa885255bed,0x4f6a8ef6ea553920,,,,,
0x0000000000000012,,,,,,,0xcb61d843113b0d19,0x5334b2f85101b08a,,,,,
0x0000000000000013,,,,,,,0x14c50c152eacbd9d,0xbd9c92e7cc6e6764,,,,,
0x0000000000000014,,,,,,,0x6a6eecdda40edeb1,0xf90a780e4f6f4e15,,,,,
0x0000000000000015,,,,,,,0xf37c7c53b84f0488,0x2e024a788f7a7149,,,,,
0x0000000000000016,,,,,,,0xc2ac579d0492262b,0xa4a826ba8e8b96a7,,,,,
0x0000000000000017,,,,,,,0xdb8fab73cf67a1b8,0x8eed31b11d1329e0,,,,,
0x0000000000000018,,,,,,,0xdfdbbc4682d0dcfd,0x0aab9b7da69c123a,,,,,
0x0000000000000019,,,,,,,0x4822bbd31a9b31ae,0xc9539a55367a5233,,,,,
0x000000000000001a,,,,,,,0x51b4301c9c53af92,0xd60c18f61ef58082,,,,,
0x000000000000001b,,,,,,,0xeccc280a1cdf152a,0x61c907bd9f738131,,,,,
0x000000000000001c,,,,,,,0x25a12b9531a637a0,0x05dd7abb7900ad3f,,,,,
0x000000000000001d,,,,,,,0x60ff3733d034f46c,0xfb7cf2728d2cb202,,,,,
0x000000000000001e,,,,,,,0xa51ade7f18efc311,0xad6df1e78fe7e4bf,,,,,
0x000000000000001f,,,,,,,0x6edabf4322483224,0xcbc0c443618b8e40,,,,,
0x0000000000000020,,,,,,,0x4611b6efc779096c,0x8a2be793fb385218,,,,,
0x0000000000000021,,,,,,,0xced18afd4eb649d1,0x6ef2f62a32d1cf9f,,,,,
0x0000000000000022,,,,,,,0x3156fbcd56a89281,0xe8bbde597328e126,,,,,
0x0000000000000023,,,,,,,0x6e665d1b90e54167,0xbdde95a8679ff78e,,,,,
0x0000000000000024,,,,,,,0xe2c1e1b2040bd8ac,0xb1df9715422fe5b1,,,,,
0x0000000000000025,,,,,,,0xd9fb4eecbc6b7a16,0x3dd5ac38d1f03958,,,,,
0x0000000000000026,,,,,,,0x323da33679ace6f2,0xa32b76172b279e85,,,,,
0x0000000000000027,,,,,,,0x2e2e5eee1ea45bb1,0xffb1176341c51406,,,,,
0x0000000000000028,,,,,,,0x2f749c706a430969,0x6807e1fa4e544a6d,,,,,
0x0000000000000029,,,,,,,0xdff2f464a1d2126b,0x525364e88b6a3058,,,,,
0x000000000000002a,,,,,,,0x2f80a4553b767bea,0xf331ec5a3deb3c51,,,,,
0x000000000000002b,,,,,,,0xe4de2f5f32afd6bd,0x730040ff11d20911,,,,,
0x000000000000002c,,,,,,,0x14f880f8b6f09425,0x43b717ddbd723ce3,,,,,
0x000000000000002d,,,,,,,0x5e570dba1d0560fc,0x4e8c33182d16f90d,,,,,
0x000000000000002e,,,,,,,0xa64e9734adf7af47,0x65441046a44c1e8b,,,,,
0x000000000000002f,,,,,,,0x50c7c02ac3a3d69f,0x4c899c2ec25185e8,,,,,
0x0000000000000030,,,,,,,0xe233600190075775,0x0d4b7378ed48e9c2,,,,,
0x0000000000000031,,,,,,,0xa7f0c9673b621d82,0xe403d4355e3d259b,,,,,
0x0000000000000032,,,,,,,0x94cbab4d09baff9b,0x8e2eb5d21260cbc1,,,,,
0x0000000000000033,,,,,,,0xd117789360ad673c,0x2e35aad0f9912110,,,,,
0x0000000000000034,,,,,,,0x1650b51d8a7fbd34,0x8fb9080ced330765,,,,,
0x0000000000000035,,,,,,,0x90015326670b1678,0x3cc5cc5200a96696,,,,,
0x0000000000000036,,,,,,,0xaf33494b249960ab,0x549427a1ceb7b684,,,,,
0x0000000000000037,,,,,,,0xc98d4cd4124a79d3,0xb7f9fa751a568b5f,,,,,
0x0000000000000038,,,,,,,0xb7ef5fa5005d7b9c,0xb0f4656a0a7232fe,,,,,
0x0000000000000039,,,,,,,0x84957483f1771b71,0xb36d2c949d829392,,,,,
0x000000000000003a,,,,,,,0x8c5f0292f693080b,0xf2f7d53d695a53b4,,,,,
0x000000000000003b,,,,,,,0xac89a11c85d23790,0xf69edbbda3e09e52,,,,,
0x000000000000003c,,,,,,,0x6a62510401eb071e,0x3f7a228e12d2c98c,,,,,
0x000000000000003d,,,,,,,0xb53f4d9cf5834560,0x0990170c83888394,,,,,
0x000000000000003e,,,,,,,0x54c0010f59b5f013,0xba61ddc81c8ec1f1,,,,,
0x000000000000003f,,,,,,,0xcd768275c81824b2,0xe23a2317216ee5ea,,,,,
0x0000000000000040,,,,,,,0x64b7e59da972bfac,0x83177d868b462489,,,,,
0x0000000000000041,,,,,,,0x2f78a5bb03788b37,0x093d90bf193e0315,,,,,
0x0000000000000042,,,,,,,0x7d6d7ecf6b6adba1,0xc4ffeeaec69bd348,,,,,
0x0000000000000043,,,,,,,0x3d2302143aac41ce,0x55020cf82770301f,,,,,
0x0000000000000044,,,,,,,0xcfb2355594c2ec85,0xb0741e345874479e,,,,,
0x0000000000000045,,,,,,,0xffc9fe3103d21a01,0xdb9e46f167e84f59,,,,,
0x0000000000000046,,,,,,,0x1afb5153e44cf836,0xc266f8fcdc8c49b6,,,,,
0x0000000000000047,,,,,,,0x2037bed4203fd0ca,0x8809dadf30278b51,,,,,
0x0000000000000048,,,,,,,0x51b869a26a2f7f05,0xaf6f81ee133cecb4,,,,,
0x0000000000000049,,,,,,,0xe8c14c26cc03fb28,0x3999f304c7434c7a,,,,,
0x000000000000004a,,,,,,,0xc56948377d297ba2,0xdd47c13d5f6abbfc,,,,,
0x000000000000004b,,,,,,,0xa076931a25fa4d11,0x7bf051cde01b7ba9,,,,,
0x000000000000004c,,,,,,,0x3b93a7056e256dc1,0xafa469fd0b0f226a,,,,,
0x000000000000004d,,,,,,,0x9b08379c97de2fe5,0x4b871d0af8b1059e,,,,,
0x000000000000004e,,,,,,,0x0de66e0c2addd57b,0x0fbcb077da770b1c,,,,,
0x000000000000004f,,,,,,,0xaafd2863bf667d51,0xcad6ff85bc8975e4,,,,,
0x0000000000000050,,,,,,,0xe5ba43c746906982,0x777713f63b6f9261,,,,,
0x0000000000000051,,,,,,,0xe5b765b6bdcc45ef,0x620a89cbeaf5e197,,,,,
0x0000000000000052,,,,,,,0x722489605d26fed2,0x01569de8f8513740,,,,,
0x0000000000000053,,,,,,,0x5abc1bc4a328aef0,0x9ac7d026e5aa81b1,,,,,
0x0000000000000054,,,,,,,0xd17c472724371d12,0x01524fde88dd20e1,,,,,
0x0000000000000055,,,,,,,0x7a175e86cfb1dccd,0x06de5d2dc9ff127a,,,,,
0x0000000000000056,,,,,,,0x7a205e39d4831c25,0x40cffbcb4483a20c,,,,,
