NUID,r2rHostKeyDataOutEncEcb-EMI0x4021-1r,r2rHostKeyDataOutDecEcb-EMI0x4021-1r,r2rHostKeyDataOutEncCbc-EMI0x4026-1r,r2rHostKeyDataOutDecCbc-EMI0x4026-1r,r2rHostKeyDataOutEncCtr-EMI0x4027-1r,r2rHostKeyDataOutDecCtr-EMI0x4027-1r,r2rContentKeyDataOutEncEcb-EMI0x4021-1r,r2rContentKeyDataOutDecEcb-EMI0x4021-1r,r2rContentKeyDataOutEncCbc-EMI0x4026-1r,r2rContentKeyDataOutDecCbc-EMI0x4026-1r,r2rContentKeyDataOutEncCtr-EMI0x4027-1r,r2rContentKeyDataOutDecCtr-EMI0x4027-1r
0x0000000000000000,,,,,,,0xac057046ba1da7d347aa6d5b45f24d86,0x18cb1037eed95d6330edff7710a120f4,,,,,
0x0000000000000001,,,,,,,0x8c20b2b12a8b312ab0a83cba5dac0c79,0xc0eaa4501dcdc25b4455935537b5e13a,,,,,
0x0000000000000002,,,,,,,0xd3737da1f1b84a0d792a30603ffe6672,0xaaa8c1fbdf80b5a617bc6cbad90290c0,,,,,
0x0000000000000003,,,,,,,0xfe62b73310dc34ae39c98e6e87a8cc04,0xb5d085387bf0a244eaf680b4b4b79d7a,,,,,
0x0000000000000004,,,,,,,0x196a93cb5e71774826bd5d7aed2b320c,0xd89533b9d2ccb510e0d74b0217c6e0f1,,,,,
0x0000000000000005,,,,,,,0xd1248d62bb3fae444de67309835ba3f1,0xa3eb795e6597b5c34afc694d7691b3cc,,,,,
0x0000000000000006,,,,,,,0x6561867dc5304a0236b4879fdfab6861,0xc3089d495f61a4a8274d9d832a2777e9,,,,,
0x0000000000000007,,,,,,,0x0bacf3a12c0e9d1910cad5db14de00e1,0xf82eb3b0a452d48ba765619e35a8f819,,,,,
0x0000000000000008,,,,,,,0x5903e2786cd5cc86eea67929aa7eec7f,0xbd470bbb66fe73f4f86441113f2c8831,,,,,
0x0000000000000009,,,,,,,0x274031b57033a809c6a7cb5595022d2d,0x215c1e11f5a6077624e9f0e5f14108ee,,,,,
0x000000000000000a,,,,,,,0x9cbdbb48dfb276b4cac66fa601286e62,0xc8c121231e2812f9a968ce04550e22b3,,,,,
0x000000000000000b,,,,,,,0x55ebad948e095509102addc20c68a824,0x8c34b71562e78ff48c9df0f7f5f25a15,,,,,
0x000000000000000c,,,,,,,0x729acaa5a47d9da493bc28b2cc504c96,0xdb4005792d816568bdfa8c585dde84d1,,,,,
0x000000000000000d,,,,,,,0xc29d80ed80a5aaf6a8594ed8e753c423,0x97e30f7be7216b0d45f53f363ae09060,,,,,
0x000000000000000e,,,,,,,0xd6dbf35cb49fe9ebc3967e59b73df5d0,0x38e633ba3a6553bf625ae38fc1a111bd,,,,,
0x000000000000000f,,,,,,,0xbfbf91b44cecfaac1d35d5df6cdb188c,0xa71cc82492356e1adf14d46f64b36107,,,,,
0x0000000000000010,,,,,,,0xc4818e3481fc82cf2113fa02026262f4,0xfc707dafe9e314fca66115e7fab6b1c3,,,,,
0x0000000000000011,,,,,,,0x604384485df15ac91af3c1ebc0927e3b,0xb7b0a5896f58ff9854709aa04a549af9,,,,,
0x0000000000000012,,,,,,,0xb1653109e63e990b57b429f7c47ada36,0x6b7b2a87d12c0d49ae9ac48166e414c5,,,,,
0x0000000000000013,,,,,,,0x5ca0abc17bf0b4fd24c441bac7373c3a,0x09fffa06bc4307b84b7097dfa73e7289,,,,,
0x0000000000000014,,,,,,,0xf5f29e495ef56224315033afba0b2ea3,0x17485c40d79a332fba9c1751037b38f2,,,,,
0x0000000000000015,,,,,,,0x39a8e4c96a3971d60f9969ca0b218a6b,0x390a1ea3f4b547d3b0576867a91a885f,,,,,
0x0000000000000016,,,,,,,0x89d35d08aef70f9c867df24b3861048e,0xf8dce5ec8603348b8422ff23d13fdcb6,,,,,
0x0000000000000017,,,,,,,0xa97ec8ba27bdf2754ae7b98addc93204,0xed521bf26abbdb9453046a6de8ffcc52,,,,,
0x0000000000000018,,,,,,,0xde73e8ac4374be25e8083fc860011741,0x73973cbbf0d793966606ab2b7b2b13d9,,,,,
